event,meet,stroke,gender,distance,records,entries
1,Compllete Results Lc Nationals 2017,Butterfly,Women,200,"[['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Mohler', 'USA'], ['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Mohler', 'USA']]",[]
2,Compllete Results Lc Nationals 2017,Butterfly,Men,200,"[['World', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine']]",[]
3,Compllete Results Lc Nationals 2017,Freestyle,Women,100,"[['American', '52.70', '8/11/2016', 'Simone Manuel', 'USA'], ['U.S. Open', '52.81', '6/27/2017', 'Mallory Comerford', 'Univ Louisville-'], ['American', '52.70', '8/11/2016', 'Simone Manuel', 'USA'], ['U.S. Open', '52.81', '6/27/2017', 'Mallory Comerford', 'Univ Louisville-']]",[]
4,Compllete Results Lc Nationals 2017,Freestyle,Men,100,"[['World', '46.91', '7/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '47.33', '7/30/2009', 'David Walters', 'USA'], ['U.S. Open', '47.58', '7/2/2008', 'Jason Lezak', 'Rose Bowl'], ['World', '46.91', '7/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '47.33', '7/30/2009', 'David Walters', 'USA'], ['U.S. Open', '47.58', '7/2/2008', 'Jason Lezak', 'Rose Bowl']]",[]
5,Compllete Results Lc Nationals 2017,Freestyle,Women,800,"[['World', '8:04.79', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '8:04.79', '8/7/2016', 'Katie Ledecky', 'USA']]",[]
6,Compllete Results Lc Nationals 2017,Freestyle,Men,1500,"[['World', '14:31.02', '8/4/2012', 'Yang Sun', 'CHN'], ['American', '14:39.48', '8/13/2016', 'Connor Jaeger', 'USA'], ['U.S. Open', '14:45.54', '7/6/2008', 'Peter Vanderkaay', 'Club Wolverine']]",[]
7,Compllete Results Lc Nationals 2017,Freestyle,Women,200,"[['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/28/2012', 'Allison Schmitt', 'North Baltimore'], ['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/28/2012', 'Allison Schmitt', 'North Baltimore']]",[]
8,Compllete Results Lc Nationals 2017,Freestyle,Men,200,"[['World', '1:42.00', '7/26/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:42.00', '7/26/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine']]",[]
9,Compllete Results Lc Nationals 2017,Breaststroke,Women,200,"[['World', '2:19.11', '8/1/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/11/2009', 'Rebecca Soni', 'Trojan'], ['World', '2:19.11', '8/1/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/11/2009', 'Rebecca Soni', 'Trojan']]",[]
10,Compllete Results Lc Nationals 2017,Breaststroke,Men,200,"[['World', '2:06.67', '1/29/2017', 'Ippei Watanabe', 'JPN'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['World', '2:06.67', '1/29/2017', 'Ippei Watanabe', 'JPN'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics']]",[]
11,Compllete Results Lc Nationals 2017,Backstroke,Women,200,"[['World', '2:04.06', '8/3/2012', 'Missy Franklin', 'USA Olympic Team'], ['American', '2:04.06', '8/3/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '2:05.68', '6/26/2013', 'Missy Franklin', 'Colorado STARS-C'], ['World', '2:04.06', '8/3/2012', 'Missy Franklin', 'USA Olympic Team'], ['American', '2:04.06', '8/3/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '2:05.68', '6/26/2013', 'Missy Franklin', 'Colorado STARS-C']]",[]
12,Compllete Results Lc Nationals 2017,Backstroke,Men,200,"[['World', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['American', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['U.S. Open', '1:53.08', '7/11/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['American', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['U.S. Open', '1:53.08', '7/11/2009', 'Aaron Peirsol', 'Longhorn']]",[]
13,Compllete Results Lc Nationals 2017,Butterfly,Women,50,"[['American', '25.50', '7/11/2009', 'Dara Torres', 'Coral Springs'], ['U.S. Open', '25.50', '7/11/2009', 'Dara Torres', 'Coral Springs'], ['American', '25.50', '7/11/2009', 'Dara Torres', 'Coral Springs'], ['U.S. Open', '25.50', '7/11/2009', 'Dara Torres', 'Coral Springs']]",[]
14,Compllete Results Lc Nationals 2017,Butterfly,Men,50,"[['World', '22.43', '4/5/2009', 'Rafael Munoz', 'ESP'], ['American', '22.91', '7/18/2009', 'Bryan Lundquist', 'Rays'], ['U.S. Open', '22.91', '7/18/2009', 'Bryan Lundquist', 'Rays'], ['World', '22.43', '4/5/2009', 'Rafael Munoz', 'ESP'], ['American', '22.91', '7/18/2009', 'Bryan Lundquist', 'Rays'], ['U.S. Open', '22.91', '7/18/2009', 'Bryan Lundquist', 'Rays']]",[]
15,Compllete Results Lc Nationals 2017,IM,Women,400,"[['World', '4:26.36', '8/6/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '6/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:31.07', '6/19/2015', 'Katinka Hosszu', 'HUN'], ['World', '4:26.36', '8/6/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '6/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:31.07', '6/19/2015', 'Katinka Hosszu', 'HUN']]",[]
16,Compllete Results Lc Nationals 2017,IM,Men,400,"[['World', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['American', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '6/29/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['American', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '6/29/2008', 'Michael Phelps', 'Club Wolverine']]",[]
17,Compllete Results Lc Nationals 2017,Butterfly,Women,100,"[['World', '55.48', '8/7/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.98', '7/29/2012', 'Dana Vollmer', 'USA Olympic Team'], ['U.S. Open', '56.38', '1/15/2016', 'Sarah Sjostrom', 'SWE'], ['World', '55.48', '8/7/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.98', '7/29/2012', 'Dana Vollmer', 'USA Olympic Team'], ['U.S. Open', '56.38', '1/15/2016', 'Sarah Sjostrom', 'SWE']]",[]
18,Compllete Results Lc Nationals 2017,Butterfly,Men,100,"[['World', '49.82', '8/1/2009', 'Michael Phelps', 'USA'], ['American', '49.82', '8/1/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '50.22', '7/9/2009', 'Michael Phelps', 'North Baltimore'], ['World', '49.82', '8/1/2009', 'Michael Phelps', 'USA'], ['American', '49.82', '8/1/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '50.22', '7/9/2009', 'Michael Phelps', 'North Baltimore']]",[]
19,Compllete Results Lc Nationals 2017,Breaststroke,Women,50,"[['World', '29.48', '8/3/2013', 'Ruta Meilutyte', 'LTU'], ['American', '29.66', '6/29/2017', 'Lilly King', 'Indiana Universi'], ['U.S. Open', '29.66', '6/29/2017', 'Lilly King', 'Indiana Universi'], ['World', '29.48', '8/3/2013', 'Ruta Meilutyte', 'LTU'], ['American', '29.66', '6/29/2017', 'Lilly King', 'Indiana Universi'], ['U.S. Open', '29.66', '6/29/2017', 'Lilly King', 'Indiana Universi']]",[]
20,Compllete Results Lc Nationals 2017,Breaststroke,Men,50,"[['World', '26.42', '8/4/2015', 'Adam Peaty', 'GBR'], ['American', '26.76', '8/4/2015', 'Kevin Cordes', 'USA'], ['U.S. Open', '26.86', '3/3/2017', 'Adam Peaty', 'GBR'], ['World', '26.42', '8/4/2015', 'Adam Peaty', 'GBR'], ['American', '26.76', '8/4/2015', 'Kevin Cordes', 'USA'], ['U.S. Open', '26.86', '3/3/2017', 'Adam Peaty', 'GBR']]",[]
21,Compllete Results Lc Nationals 2017,Backstroke,Women,50,"[['World', '27.06', '7/26/2009', 'Jing Zhao', 'CHN'], ['American', '27.51', '6/19/2015', 'Natalie Coughlin', 'California Aquat'], ['U.S. Open', '27.51', '6/19/2015', 'Natalie Coughlin', 'California Aquat'], ['World', '27.06', '7/26/2009', 'Jing Zhao', 'CHN'], ['American', '27.51', '6/19/2015', 'Natalie Coughlin', 'California Aquat'], ['U.S. Open', '27.51', '6/19/2015', 'Natalie Coughlin', 'California Aquat']]",[]
22,Compllete Results Lc Nationals 2017,Backstroke,Men,50,"[['World', '24.04', '8/2/2009', 'Liam Tancock', 'Great Britain'], ['American', '24.33', '12/5/2008', 'Randall Bal', 'USA'], ['U.S. Open', '24.36', '8/6/2015', 'Junya Koga', 'Club Wolverine'], ['World', '24.04', '8/2/2009', 'Liam Tancock', 'Great Britain'], ['American', '24.33', '12/5/2008', 'Randall Bal', 'USA'], ['U.S. Open', '24.36', '8/6/2015', 'Junya Koga', 'Club Wolverine']]",[]
23,Compllete Results Lc Nationals 2017,Freestyle,Women,400,"[['World', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:58.44', '6/30/2017', 'Katie Ledecky', 'Stanford Swimmin'], ['World', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:58.44', '6/30/2017', 'Katie Ledecky', 'Stanford Swimmin']]",[]
24,Compllete Results Lc Nationals 2017,Freestyle,Men,400,"[['World', '3:40.07', '7/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan'], ['World', '3:40.07', '7/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan']]",[]
25,Compllete Results Lc Nationals 2017,Breaststroke,Women,100,"[['World', '1:04.35', '7/29/2013', 'Ruta Meilutyte', 'LTU'], ['American', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan'], ['World', '1:04.35', '7/29/2013', 'Ruta Meilutyte', 'LTU'], ['American', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan']]",[]
26,Compllete Results Lc Nationals 2017,Breaststroke,Men,100,"[['World', '57.13', '8/7/2016', 'Adam Peaty', 'GBR'], ['American', '58.74', '6/30/2017', 'Kevin Cordes', 'Unattached-SE'], ['U.S. Open', '58.74', '6/30/2017', 'Kevin Cordes', 'Unattached-SE'], ['World', '57.13', '8/7/2016', 'Adam Peaty', 'GBR'], ['American', '58.74', '6/30/2017', 'Kevin Cordes', 'Unattached-SE'], ['U.S. Open', '58.74', '6/30/2017', 'Kevin Cordes', 'Unattached-SE']]",[]
27,Compllete Results Lc Nationals 2017,Backstroke,Women,100,"[['World', '58.12', '7/28/2009', 'Gemma Spofforth', 'GBR'], ['American', '58.33', '7/30/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '58.57', '6/30/2017', 'Kathleen Baker', 'Team Elite-NC'], ['World', '58.12', '7/28/2009', 'Gemma Spofforth', 'GBR'], ['American', '58.33', '7/30/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '58.57', '6/30/2017', 'Kathleen Baker', 'Team Elite-NC']]",[]
28,Compllete Results Lc Nationals 2017,Backstroke,Men,100,"[['World', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['American', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '7/8/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['American', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '7/8/2009', 'Aaron Peirsol', 'Longhorn']]",[]
29,Compllete Results Lc Nationals 2017,Freestyle,Women,1500,"[['World', '15:25.48', '8/4/2015', 'Katie Ledecky', 'USA'], ['American', '15:25.48', '8/4/2015', 'Katie Ledecky', 'USA']]",[]
30,Compllete Results Lc Nationals 2017,IM,Women,200,"[['World', '2:06.12', '8/3/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '7/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:08.66', '5/17/2015', 'Katinka Hosszu', 'HUN'], ['World', '2:06.12', '8/3/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '7/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:08.66', '5/17/2015', 'Katinka Hosszu', 'HUN']]",[]
31,Compllete Results Lc Nationals 2017,IM,Men,200,"[['World', '1:54.00', '7/28/2011', 'Ryan Lochte', 'USA'], ['American', '1:54.00', '7/28/2011', 'Ryan Lochte', 'USA'], ['U.S. Open', '1:54.56', '7/10/2009', 'Ryan Lochte', 'Daytona Beach'], ['World', '1:54.00', '7/28/2011', 'Ryan Lochte', 'USA'], ['American', '1:54.00', '7/28/2011', 'Ryan Lochte', 'USA'], ['U.S. Open', '1:54.56', '7/10/2009', 'Ryan Lochte', 'Daytona Beach']]",[]
32,Compllete Results Lc Nationals 2017,Freestyle,Men,800,"[['World', '7:32.12', '7/29/2009', 'Lin Zhang', 'CHN'], ['American', '7:43.60', '7/31/2013', 'Michael McBroom', 'USA']]",[]
33,Compllete Results Lc Nationals 2017,Freestyle,Women,50,"[['World', '23.73', '8/1/2009', 'Britta Steffen', 'GER'], ['American', '24.07', '8/17/2008', 'Dara Torres', 'USA'], ['U.S. Open', '24.13', '5/18/2008', 'Cate Campbell', 'AUS'], ['World', '23.73', '8/1/2009', 'Britta Steffen', 'GER'], ['American', '24.07', '8/17/2008', 'Dara Torres', 'USA'], ['U.S. Open', '24.13', '5/18/2008', 'Cate Campbell', 'AUS']]",[]
34,Compllete Results Lc Nationals 2017,Freestyle,Men,50,"[['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.37', '8/7/2015', 'Nathan Adrian', 'USA'], ['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.37', '8/7/2015', 'Nathan Adrian', 'USA']]",[]
